# r     V(p)     V(n)     m*(p)/m     m*(n)/m    VC 
   0.16900E+02  -0.11214E-09  -0.24199E-09  -0.21070E-11  -0.21070E-11   0.68152E+00
   0.17000E+02  -0.94308E-10  -0.20446E-09  -0.17704E-11  -0.17704E-11   0.67752E+00
   0.17100E+02  -0.79298E-10  -0.17268E-09  -0.14878E-11  -0.14878E-11   0.67356E+00
   0.17200E+02  -0.66660E-10  -0.14579E-09  -0.12504E-11  -0.12504E-11   0.66964E+00
   0.17300E+02  -0.56017E-10  -0.12302E-09  -0.10511E-11  -0.10511E-11   0.66578E+00
   0.17400E+02  -0.47053E-10  -0.10374E-09  -0.88369E-12  -0.88369E-12   0.66195E+00
   0.17500E+02  -0.39501E-10  -0.87415E-10  -0.74298E-12  -0.74298E-12   0.65817E+00
   0.17600E+02  -0.33140E-10  -0.73593E-10  -0.62472E-12  -0.62472E-12   0.65444E+00
   0.17700E+02  -0.27780E-10  -0.61888E-10  -0.52531E-12  -0.52531E-12   0.65074E+00
   0.17800E+02  -0.23264E-10  -0.51978E-10  -0.44170E-12  -0.44170E-12   0.64709E+00
   0.17900E+02  -0.19459E-10  -0.43586E-10  -0.37138E-12  -0.37138E-12   0.64347E+00
   0.18000E+02  -0.16253E-10  -0.36483E-10  -0.31221E-12  -0.31221E-12   0.63990E+00
   0.18100E+02  -0.13552E-10  -0.30470E-10  -0.26241E-12  -0.26241E-12   0.63637E+00
   0.18200E+02  -0.11277E-10  -0.25382E-10  -0.22048E-12  -0.22048E-12   0.63287E+00
   0.18300E+02  -0.93618E-11  -0.21079E-10  -0.18515E-12  -0.18515E-12   0.62942E+00
   0.18400E+02  -0.77495E-11  -0.17441E-10  -0.15537E-12  -0.15537E-12   0.62600E+00
   0.18500E+02  -0.63933E-11  -0.14369E-10  -0.13025E-12  -0.13025E-12   0.62262E+00
   0.18600E+02  -0.52537E-11  -0.11777E-10  -0.10905E-12  -0.10905E-12   0.61927E+00
   0.18700E+02  -0.42973E-11  -0.95939E-11  -0.91118E-13  -0.91118E-13   0.61596E+00
   0.18800E+02  -0.34961E-11  -0.77590E-11  -0.75941E-13  -0.75941E-13   0.61269E+00
   0.18900E+02  -0.28267E-11  -0.62212E-11  -0.63065E-13  -0.63065E-13   0.60944E+00
   0.19000E+02  -0.22694E-11  -0.49376E-11  -0.52112E-13  -0.52112E-13   0.60624E+00
   0.19100E+02  -0.18076E-11  -0.38722E-11  -0.42762E-13  -0.42762E-13   0.60307E+00
   0.19200E+02  -0.14278E-11  -0.29947E-11  -0.34743E-13  -0.34743E-13   0.59993E+00
   0.19300E+02  -0.11185E-11  -0.22802E-11  -0.27824E-13  -0.27824E-13   0.59682E+00
   0.19400E+02  -0.87037E-12  -0.17077E-11  -0.21807E-13  -0.21807E-13   0.59375E+00
   0.19500E+02  -0.67574E-12  -0.12605E-11  -0.16521E-13  -0.16521E-13   0.59070E+00
   0.19600E+02  -0.52758E-12  -0.92263E-12  -0.11820E-13  -0.11820E-13   0.58769E+00
   0.19700E+02  -0.43322E-12  -0.71094E-12  -0.75730E-14  -0.75730E-14   0.58471E+00
   0.19800E+02  -0.37159E-12  -0.53446E-12  -0.35186E-14  -0.35186E-14   0.58176E+00
   0.19900E+02  -0.18822E-12  -0.28350E-12  -0.44426E-15  -0.44426E-15   0.57884E+00
   0.20000E+02   0.51602E-13   0.40496E-12  -0.15676E-15  -0.15676E-15   0.57594E+00
